,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
494,Love &amp; Hip Hop Couple Erica Mena &amp; Clifford Dixon Arrested Outside Atlanta https://t.co/2u7AmsbOsu https://t.co/gkNeZ4DGYE,Tue Oct 16 11:14:44 +0000 2018,186556926,False,False,0,,,,[],[],,"A men’s blog created to help build individual lifestyles through design, motivation and positive news. One individual at a time until we fuse the entire world.",136,41,,254,en,2,United States,20110,[]
526,RT @ATLairport: Looking for what’s next on the horizon? ➡️✈️ Our #ATLAirport Career Fair is just around the corner! Join us on October 30 t…,Tue Oct 16 11:14:43 +0000 2018,747951706323877891,False,False,2,16362900.0,Looking for what’s next on the horizon? ➡️✈️ Our #ATLAirport Career Fair is just around the corner! Join us on Octo… https://t.co/70AC4VeTnT,True,"[{'text': 'ATLAirport', 'indices': [65, 76]}]","[{'screen_name': 'ATLairport', 'name': 'Atlanta Airport', 'id': 16362900, 'id_str': '16362900', 'indices': [3, 14]}]",,"Professional Speaker/author of the book, ""What's In A Name,"" A Historical Perspective of Hartsfield-Jackson Atlanta International Airport!  ✈️✈️#avgeek",164,352,,880,en,9,"Cartersville (Atlanta), GA",1588,['ATLAirport']
559,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:14:34 +0000 2018,765937063317430272,False,False,199,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,,9975,201,,79,en,11,,40556,[]
593,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/n8yAnPuuQu",Tue Oct 16 11:14:27 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [53, 64]}, {'text': 'Detroit', 'indices': [65, 73]}, {'text': 'LosAngeles', 'indices': [74, 85]}, {'text': 'NewOrleans', 'indices': [86, 97]}, {'text': 'Dallas', 'indices': [98, 105]}, {'text': 'Chicago', 'indices': [106, 114]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29344,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
628,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:14:27 +0000 2018,63170054,False,False,739,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,“People shouldn't be afraid of their government. Governments should be afraid of their people. https://t.co/VwHAbDA6EW” My views are my own.,778,336,,1077,en,9,"West Haven, CT",13734,[]
664,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:14:26 +0000 2018,3219698364,False,False,199,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,"Sorry in advance, I’m sorta bad at this. Clemson 2069",181750,621,,628,en,23,,56761,[]
701,"TUESDAY'S WEATHER-TRAFFIC: Metro Atlanta to see some rain, slightly cooler temps - Atlanta Journal Constitution https://t.co/5dIntbnt6B",Tue Oct 16 11:14:22 +0000 2018,66877994,False,False,0,,,,[],[],,,0,8091,,8936,en,132,"Atlanta, GA",40033,[]
739,"@wwwspay @bitekiyoshi @Vilghost 
Pour infos j'ai en cours :
The Office US
Parks &amp; Rec
Community
Modern Family
Louie… https://t.co/rDknDHkql4",Tue Oct 16 11:14:21 +0000 2018,2787085996,True,False,0,,,,[],"[{'screen_name': 'wwwspay', 'name': 'Lucas', 'id': 136430314, 'id_str': '136430314', 'indices': [0, 8]}, {'screen_name': 'bitekiyoshi', 'name': 'Régis est un con', 'id': 303719428, 'id_str': '303719428', 'indices': [9, 21]}, {'screen_name': 'Vilghost', 'name': 'Vil', 'id': 163847361, 'id_str': '163847361', 'indices': [22, 31]}]",,Retweet des trucs.,1937,86,,191,fr,7,Rennes,15753,[]
778,"#Abracadabra #OpenSesame #10X  
On Hard📈
A'mor Shanee' 
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas… https://t.co/WMqhdAObk3",Tue Oct 16 11:14:18 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [56, 67]}, {'text': 'Detroit', 'indices': [68, 76]}, {'text': 'LosAngeles', 'indices': [77, 88]}, {'text': 'NewOrleans', 'indices': [89, 100]}, {'text': 'Dallas', 'indices': [101, 108]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29344,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas']"
818,🔥BRICK WESTSIDE ATL--84K ??🔥 - https://t.co/miacVp1MEq,Tue Oct 16 11:14:17 +0000 2018,161545367,False,False,0,,,,[],[],,"Atlanta's premier real estate investment firm. Specializing in residential single family new construction, renovations and land and community development.",0,277,,27,en,5,"Atlanta, GA",1211,[]
859,🔥BRICK WESTSIDE ATL--84K ??🔥 - https://t.co/YWrHFsPbD3,Tue Oct 16 11:14:17 +0000 2018,161545367,False,False,0,,,,[],[],,"Atlanta's premier real estate investment firm. Specializing in residential single family new construction, renovations and land and community development.",0,277,,27,en,5,"Atlanta, GA",1211,[]
901,Quick connect then onward... #tamaroundtowm (@ Hartsfield-Jackson Atlanta International Airport - @atlairport in At… https://t.co/YJo0Hn9oHG,Tue Oct 16 11:14:10 +0000 2018,426078045,True,False,0,,,,"[{'text': 'tamaroundtowm', 'indices': [29, 43]}]","[{'screen_name': 'ATLairport', 'name': 'Atlanta Airport', 'id': 16362900, 'id_str': '16362900', 'indices': [98, 109]}]",,#PwC Diversity Talent Acquisition | high heel lover | music lover | Steelers fan | traveler | Pitt Alum| History Lover. #tamaroundtown Tweets are my own.,10069,2527,,4052,en,184,"Tampa, FL",22661,['tamaroundtowm']
944,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:14:09 +0000 2018,913586426008150018,False,False,123,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"Disabled Vet, USAF Retired.  Cultural Anthro/Archeo enthusiast. #agnostic Abhor politics -MUST fight. I block porn trolls. NO LISTS/NO PORN  #VetsResistSquadron",44664,3261,,2975,en,6,"Out West, USA",26753,[]
